geoid,med_rent,moe,cty_med_rent,pct_med_rent,month_filings,month_rate,pct_white,pct_black,pct_latinx
55079009000,875,48,873.5,100.2,69,12.6,5.1,90.7,1.1
55079120201,1073,38,873.5,122.8,18,2,86,6,5.9
55079001100,832,34,873.5,95.2,70,8.9,9.1,83.8,0
55079021600,851,90,873.5,97.4,6,1.4,50.7,1.4,19.8
55079008800,797,76,873.5,91.2,87,18,5.4,90.5,1
55079011000,752,82,873.5,86.1,60,3.6,66.9,16.2,7.7
55079011100,884,136,873.5,101.2,13,1.6,78.7,7.7,6
55079016600,779,60,873.5,89.2,37,7.4,25,20.6,52.7
55079186100,500,131,873.5,57.2,54,9,4.3,84,2.7
55079006600,819,54,873.5,93.8,76,15.7,3.9,88,3.9
55079001800,849,111,873.5,97.2,110,18.6,0,91.4,8.6
55079120101,1175,102,873.5,134.5,7,0.8,85.8,3.6,4.9
55079019000,876,67,873.5,100.3,27,4.7,37.2,15.3,40.4
55079006800,782,68,873.5,89.5,80,12.8,3.4,95.7,1.4
55079000102,957,52,873.5,109.6,180,22.2,12.5,79.4,8.1
55079101600,738,149,873.5,84.5,12,2,75.5,9.7,12.9
55079005600,961,44,873.5,110,3,1.2,69.3,12,7.9
55079003200,1012,186,873.5,115.9,33,10,6.4,76.7,12.7
55079003900,884,73,873.5,101.2,71,10.8,6.8,91.4,0
55079016900,693,57,873.5,79.3,55,5.6,19.2,6.1,74.6
55079017600,771,72,873.5,88.3,43,7.6,14.4,11.7,72.5
55079080100,1045,92,873.5,119.6,6,0.9,82.5,7.5,3.9
55079101500,735,27,873.5,84.1,15,1.5,64.3,10.5,18.9
55079187000,963,53,873.5,110.2,43,2.3,79.9,8.7,6
55079185500,709,71,873.5,81.2,39,7.8,0,93.6,0.8
55079005100,759,42,873.5,86.9,195,18.1,7.2,86,3.7
55079012400,778,54,873.5,89.1,14,2.2,57.3,27.2,7.5
55079009500,949,32,873.5,108.6,13,4.3,60.8,20.9,17.3
55079015900,760,84,873.5,87,56,6,21.4,28.2,49.6
55079016100,820,59,873.5,93.9,12,2.3,12.7,8.8,73.9
55079021000,894,86,873.5,102.3,2,1,77.5,10.5,12.4
55079003800,905,67,873.5,103.6,45,10.5,8.2,85.5,2.3
55079005300,1036,160,873.5,118.6,5,1.4,32.9,52.7,0
55079170200,858,23,873.5,98.2,24,3.1,67,9.5,16.8
55079180300,811,76,873.5,92.8,57,8,75.3,4.7,17.6
55079140202,945,59,873.5,108.2,3,0.6,78.4,12.3,6.5
55079007800,1155,153,873.5,132.2,17,1.7,73.8,6.3,8
55079018900,966,88,873.5,110.6,1,0.4,20.8,8.8,68.4
55079090800,839,50,873.5,96.1,2,0.9,81.2,10.5,0
55079006700,863,45,873.5,98.8,34,13.2,0,93,1.6
55079020900,839,36,873.5,96.1,3,1,73.3,0,25.3
55079007100,941,48,873.5,107.7,10,1.6,72.1,13.3,8.9
55079020400,837,43,873.5,95.8,17,3.1,24.8,7,66.2
55079160204,1020,41,873.5,116.8,31,1.5,80.4,6.9,5.3
55079007500,1297,261,873.5,148.5,2,0.5,87.7,5.5,3.6
55079020600,800,109,873.5,91.6,4,0.7,77.1,0,18.1
55079005800,859,44,873.5,98.3,63,8.8,39.5,57,0
55079018700,815,56,873.5,93.3,60,8.6,25.5,7,65.8
55079002000,817,76,873.5,93.5,71,13.5,3.6,84.6,5.5
55079006500,874,60,873.5,100.1,62,13.4,1.1,94,5
55079021800,851,98,873.5,97.4,7,1.6,60.4,6.1,21.3
55079100900,897,28,873.5,102.7,39,3.2,66.8,7.8,10.5
55079020800,1044,108,873.5,119.5,4,0.7,82.3,0,15.5
55079091000,944,67,873.5,108.1,4,0.6,69.4,23.9,2.9
55079090600,1353,101,873.5,154.9,6,0.8,73.4,14.4,1.6
55079000400,878,30,873.5,100.5,87,10.1,29.1,66.1,0
55079186500,764,69,873.5,87.5,31,4.5,45.4,11.6,37.6
55079100300,816,70,873.5,93.4,14,1.9,82.1,1.5,10.9
55079007400,1523,314,873.5,174.4,0,0,86.3,8.3,2.4
55079186800,636,205,873.5,72.8,98,13.4,16.1,46.5,29.3
55079017200,842,34,873.5,96.4,4,1.1,7.3,5.1,80.8
55079170700,890,85,873.5,101.9,9,1.6,74.1,12,13.8
55079180100,823,45,873.5,94.2,8,2.1,78.5,8,0.8
55079019800,859,29,873.5,98.3,29,3.2,43.9,15.3,24.7
55079019900,794,52,873.5,90.9,9,2.3,60.7,12.5,10.5
55079008500,943,33,873.5,108,48,14,0,94.8,4.1
55079004700,797,59,873.5,91.2,105,11.9,0.8,96.6,0
55079101200,1011,218,873.5,115.7,4,0.7,93.6,0,6.4
55079001200,825,52,873.5,94.4,164,20.1,2.8,83.9,0.6
55079002600,952,83,873.5,109,78,11.7,3.5,95.3,0
55079002700,951,121,873.5,108.9,62,13.4,10.8,89.2,0
55079019100,861,42,873.5,98.6,28,3.7,49,10.2,42
55079120501,914,59,873.5,104.6,1,0.2,52.5,19.6,10.9
55079002300,828,78,873.5,94.8,98,10.5,7.7,92.3,1.2
55079003400,862,26,873.5,98.7,135,8.5,19.9,79.2,2.8
55079150304,1124,101,873.5,128.7,12,1.3,82.3,1.9,2.9
55079009100,893,138,873.5,102.2,69,12,0.7,86.4,0
55079185200,728,54,873.5,83.3,44,3.9,77.3,10.4,8.6
55079013300,789,34,873.5,90.3,14,5.4,37.7,56.2,4.2
55079010600,889,138,873.5,101.8,26,8.7,21.5,48.3,28.2
55079003500,806,220,873.5,92.3,58,11.4,3.4,86,3.9
55079060200,1114,255,873.5,127.5,20,2.3,51.1,31.6,4.4
55079170100,957,127,873.5,109.6,2,0.6,67.5,2.7,29.8
55079018100,1092,49,873.5,125,1,0.3,89.3,7,1.8
55079021200,760,78,873.5,87,16,4.2,50.8,6.8,30.4
55079187300,1346,945,873.5,154.1,15,15.2,100,0,0
55079012800,880,90,873.5,100.7,12,1.9,69.2,16.3,1.3
55079012300,814,103,873.5,93.2,62,15.4,14.4,81.9,2.7
55079110100,738,27,873.5,84.5,49,4.5,58.4,26.1,14.5
55079014100,596,132,873.5,68.2,116,15.6,18.1,72.8,4.4
55079091200,1136,65,873.5,130.1,43,2.8,77.2,5.5,1
55079002100,782,51,873.5,89.5,157,22.7,6.5,86,3.5
55079010800,847,39,873.5,97,30,2.4,78.2,8.8,7.1
55079040100,1333,915,873.5,152.6,0,0,100,0,0
55079012600,819,66,873.5,93.8,20,4.3,83.9,7.9,5.1
55079016400,830,44,873.5,95,58,6.9,4.7,12.4,79.8
55079016500,783,64,873.5,89.6,28,4.5,23.3,8.8,67.4
55079001700,864,57,873.5,98.9,183,16.3,2.2,91.3,1.6
55079004300,797,59,873.5,91.2,156,11.8,3.5,87.7,2.9
55079019500,985,72,873.5,112.8,4,1.3,88.3,0,6
55079014400,1388,52,873.5,158.9,6,0.5,83.2,4.5,1.8
55079186900,1202,97,873.5,137.6,15,1.3,84.1,3.9,2.3
55079004400,821,31,873.5,94,71,6.1,30.1,60,7.3
55079100800,896,147,873.5,102.6,1,0.3,90,2.4,5.1
55079980000,0,0,873.5,0,32,0,0,0,0
55079101300,864,38,873.5,98.9,12,2.7,80,11.9,6.3
55079007300,1190,129,873.5,136.2,18,2.6,72.5,13,1.9
55079010700,959,191,873.5,109.8,12,1.9,69.7,8.5,19.7
55079120300,1130,278,873.5,129.4,1,0.7,58.9,0,35.1
55079000302,998,63,873.5,114.3,147,23.3,2.8,89.9,4
55079070100,1078,163,873.5,123.4,1,0.4,72.2,13.5,0
55079017000,730,56,873.5,83.6,48,4.3,15.6,20.1,62.8
55079015800,690,30,873.5,79,57,8.5,18.2,19.9,60.6
55079008900,886,68,873.5,101.4,58,21.4,12.9,85.2,1.8
55079003000,957,105,873.5,109.6,50,9.1,1.1,86.1,11.5
55079017400,699,36,873.5,80,40,6.7,21.6,9.1,64.2
55079090900,926,74,873.5,106,9,1.3,75.5,11.2,4.6
55079014700,683,46,873.5,78.2,7,0.8,48.1,30.8,4
55079017500,761,44,873.5,87.1,61,7,7.4,34.5,59.1
55079101100,750,28,873.5,85.9,6,1.2,74.5,15.3,2.1
55079013400,677,50,873.5,77.5,88,11.9,5.4,70,9.6
