geoid,tract_name,county,state,variable,med_rent,moe,cty_med_rent,pct_med_rent,month_date,month_filings,month_rate,month_rate_scale_max,month_diff,pct_white,pct_black,pct_latinx
55079001500,Census Tract 15,Milwaukee County,Wisconsin,B25064_001,829,74,873.5,94.9,01/11/2022,176,0.303448275862069,0.202806690149059,1.15535248041775,0.113793103448276,0.739655172413793,0.0689655172413793
55079185900,Census Tract 1859,Milwaukee County,Wisconsin,B25064_001,770,38,873.5,88.2,01/11/2022,17,0.146551724137931,0.202806690149059,0.957446808510638,0,0.887931034482759,0.0775862068965517
55079012900,Census Tract 129,Milwaukee County,Wisconsin,B25064_001,863,62,873.5,98.8,01/11/2022,20,0.036101083032491,0.202806690149059,1.19318181818182,0.671480144404332,0.075812274368231,0.169675090252708
55079100100,Census Tract 1001,Milwaukee County,Wisconsin,B25064_001,925,31,873.5,105.9,01/11/2022,26,0.0327868852459016,0.202806690149059,0.767045454545455,0.581336696090794,0.114754098360656,0.240857503152585
55079170300,Census Tract 1703,Milwaukee County,Wisconsin,B25064_001,770,55,873.5,88.2,01/11/2022,4,0.0103626943005181,0.202806690149059,0.217391304347826,0.792746113989637,0.0621761658031088,0.0803108808290156
55079170500,Census Tract 1705,Milwaukee County,Wisconsin,B25064_001,801,148,873.5,91.7,01/11/2022,9,0.0184049079754601,0.202806690149059,0.666666666666667,0.850715746421268,0.0265848670756646,0.0858895705521472
55079016200,Census Tract 162,Milwaukee County,Wisconsin,B25064_001,827,83,873.5,94.7,01/11/2022,28,0.0472972972972973,0.202806690149059,0.70048309178744,0.238175675675676,0.0371621621621622,0.660472972972973
55079001900,Census Tract 19,Milwaukee County,Wisconsin,B25064_001,921,172,873.5,105.4,01/11/2022,73,0.111620795107034,0.202806690149059,1.20915032679739,0.0779816513761468,0.885321100917431,0
55079120102,Census Tract 1201.02,Milwaukee County,Wisconsin,B25064_001,1278,80,873.5,146.3,01/11/2022,7,0.011326860841424,0.202806690149059,1.9047619047619,0.933656957928802,0.0194174757281553,0.0469255663430421
55079007900,Census Tract 79,Milwaukee County,Wisconsin,B25064_001,861,48,873.5,98.6,01/11/2022,8,0.012779552715655,0.202806690149059,0.737704918032787,0.824281150159744,0.0543130990415336,0.0926517571884984
55079020500,Census Tract 205,Milwaukee County,Wisconsin,B25064_001,834,42,873.5,95.5,01/11/2022,9,0.01931330472103,0.202806690149059,0.454545454545455,0.332618025751073,0,0.641630901287554
55079060102,Census Tract 601.02,Milwaukee County,Wisconsin,B25064_001,780,310,873.5,89.3,01/11/2022,4,0.0272108843537415,0.202806690149059,1.08695652173913,0.476190476190476,0.523809523809524,0.054421768707483
55079001300,Census Tract 13,Milwaukee County,Wisconsin,B25064_001,916,52,873.5,104.9,01/11/2022,111,0.151639344262295,0.202806690149059,0.89171974522293,0.110655737704918,0.80327868852459,0.0177595628415301
55079009700,Census Tract 97,Milwaukee County,Wisconsin,B25064_001,834,215,873.5,95.5,01/11/2022,39,0.159836065573771,0.202806690149059,0.975609756097561,0,0.487704918032787,0.0655737704918033
55079016800,Census Tract 168,Milwaukee County,Wisconsin,B25064_001,753,30,873.5,86.2,01/11/2022,62,0.096875,0.202806690149059,1.08247422680412,0.046875,0.1765625,0.76875
55079003600,Census Tract 36,Milwaukee County,Wisconsin,B25064_001,949,82,873.5,108.6,01/11/2022,45,0.0974025974025974,0.202806690149059,1.20418848167539,0,0.974025974025974,0.0432900432900433
55079005200,Census Tract 52,Milwaukee County,Wisconsin,B25064_001,771,63,873.5,88.3,01/11/2022,8,0.032258064516129,0.202806690149059,0.642857142857143,0.0725806451612903,0.778225806451613,0.108870967741935
55079017100,Census Tract 171,Milwaukee County,Wisconsin,B25064_001,781,47,873.5,89.4,01/11/2022,6,0.0145278450363196,0.202806690149059,0.729166666666667,0.0968523002421307,0.0435835351089588,0.847457627118644
55079016000,Census Tract 160,Milwaukee County,Wisconsin,B25064_001,775,24,873.5,88.7,01/11/2022,43,0.070840197693575,0.202806690149059,0.977777777777778,0.329489291598023,0.159802306425041,0.42504118616145
55079140201,Census Tract 1402.01,Milwaukee County,Wisconsin,B25064_001,941,67,873.5,107.7,01/11/2022,8,0.0098159509202454,0.202806690149059,0.625,0.932515337423313,0.0208588957055215,0.0196319018404908
55079014300,Census Tract 143,Milwaukee County,Wisconsin,B25064_001,866,31,873.5,99.1,01/11/2022,24,0.0189423835832676,0.202806690149059,2.1551724137931,0.742699289660616,0.058405682715075,0.0860299921073402
55079017300,Census Tract 173,Milwaukee County,Wisconsin,B25064_001,847,118,873.5,97,01/11/2022,33,0.0673469387755102,0.202806690149059,1.2781954887218,0.124489795918367,0.104081632653061,0.726530612244898
55079100200,Census Tract 1002,Milwaukee County,Wisconsin,B25064_001,997,97,873.5,114.1,01/11/2022,61,0.0453194650817236,0.202806690149059,1.5979381443299,0.606983655274889,0.167904903417533,0.140416047548291
55079100500,Census Tract 1005,Milwaukee County,Wisconsin,B25064_001,775,51,873.5,88.7,01/11/2022,32,0.0344456404736276,0.202806690149059,0.846153846153846,0.603875134553283,0.103336921420883,0.186221743810549
55079030100,Census Tract 301,Milwaukee County,Wisconsin,B25064_001,1331,97,873.5,152.4,01/11/2022,4,0.00911161731207289,0.202806690149059,0.78125,0.694760820045558,0.104783599088838,0.0250569476082005
55079101000,Census Tract 1010,Milwaukee County,Wisconsin,B25064_001,988,95,873.5,113.1,01/11/2022,78,0.0548523206751055,0.202806690149059,1.55511811023622,0.676511954992968,0.225035161744023,0.0225035161744023
